insert into `livros` values ('978-0-18-072205-3', 'A liberdade de mudar direto da fonte', '2020-10-01', '59', '13');
insert into `livros` values ('978-1-277-96267-3', 'A vantagem de realizar seus sonhos simplesmente', '2008-12-12', '46', '7');
insert into `livros` values ('978-0-9971798-3-5', 'A segurança de evoluir direto da fonte', '1985-12-09', '18', '18');
insert into `livros` values ('978-1-130-95434-0', 'O direito de ganhar antes de tudo', '2000-02-26', '90', '16');
insert into `livros` values ('978-1-61340-355-6', 'A simplicidade de evoluir antes de tudo', '2022-06-03', '89', '19');
insert into `livros` values ('978-0-03-745298-0', 'O conforto de conseguir mais facilmente', '1975-08-23', '46', '5');
insert into `livros` values ('978-1-300-75909-6', 'O conforto de mudar mais facilmente', '1976-06-04', '56', '12');
insert into `livros` values ('978-1-86154-219-9', 'A simplicidade de atingir seus objetivos com força total', '2021-11-29', '6', '10');
insert into `livros` values ('978-1-62308-769-2', 'O prazer de mudar com força total', '1970-04-21', '69', '9');
insert into `livros` values ('978-1-251-35563-7', 'A vantagem de avançar em estado puro', '1980-05-30', '55', '1');
insert into `livros` values ('978-0-7356-9089-9', 'A certeza de mudar sem preocupação', '1984-04-10', '55', '10');
insert into `livros` values ('978-0-536-95111-3', 'A arte de realizar seus sonhos antes de tudo', '2020-06-14', '18', '10');
insert into `livros` values ('978-1-75713-104-9', 'O direito de inovar mais rapidamente', '2003-06-12', '78', '14');
insert into `livros` values ('978-1-191-51944-1', 'A certeza de realizar seus sonhos sem preocupação', '2020-10-04', '97', '2');
insert into `livros` values ('978-0-9957095-6-0', 'O prazer de ganhar mais rapidamente', '1986-08-20', '36', '9');
insert into `livros` values ('978-1-05-476552-7', 'A arte de evoluir com confiança', '2004-04-30', '7', '6');
insert into `livros` values ('978-0-914406-97-6', 'O poder de realizar seus sonhos simplesmente', '1990-05-09', '80', '4');
insert into `livros` values ('978-1-315-03785-1', 'O poder de evoluir sem preocupação', '1997-04-23', '59', '3');
insert into `livros` values ('978-1-9749-1602-3', 'O direito de concretizar seus projetos direto da fonte', '1993-03-05', '76', '17');
insert into `livros` values ('978-1-891918-62-9', 'O direito de atingir seus objetivos com força total', '2012-12-14', '5', '6');
insert into `livros` values ('978-0-8459-8495-6', 'A vantagem de atingir seus objetivos mais rapidamente', '1988-04-09', '25', '2');
insert into `livros` values ('978-1-06-296135-5', 'O direito de mudar naturalmente', '1976-04-17', '85', '18');
insert into `livros` values ('978-1-64130-997-4', 'A vantagem de realizar seus sonhos com toda a tranquilidade', '1980-03-31', '3', '17');
insert into `livros` values ('978-1-02-885074-7', 'A simplicidade de conseguir naturalmente', '2013-01-23', '1', '13');
insert into `livros` values ('978-0-224-26182-1', 'A liberdade de mudar direto da fonte', '1988-12-25', '10', '18');
insert into `livros` values ('978-1-880644-89-8', 'A possibilidade de avançar naturalmente', '2011-01-09', '47', '13');
insert into `livros` values ('978-1-382-23721-5', 'A certeza de conseguir de maneira eficaz', '2021-04-25', '25', '16');
insert into `livros` values ('978-0-565-73446-6', 'A certeza de concretizar seus projetos mais facilmente', '2000-04-29', '66', '8');
insert into `livros` values ('978-0-235-76127-3', 'O conforto de ganhar em estado puro', '1988-11-29', '9', '6');
insert into `livros` values ('978-0-9953927-6-2', 'A liberdade de atingir seus objetivos mais facilmente', '1989-11-11', '53', '18');
insert into `livros` values ('978-0-626-08927-6', 'A segurança de atingir seus objetivos de maneira eficaz', '2008-06-14', '21', '9');
insert into `livros` values ('978-1-76260-885-7', 'A vantagem de avançar de maneira eficaz', '2007-04-21', '69', '7');
insert into `livros` values ('978-0-85969-137-6', 'A liberdade de avançar naturalmente', '2016-01-07', '38', '5');
insert into `livros` values ('978-1-909455-65-8', 'A simplicidade de conseguir em estado puro', '1994-12-28', '32', '8');
insert into `livros` values ('978-0-931574-26-9', 'A liberdade de evoluir de maneira eficaz', '1993-12-15', '19', '20');
insert into `livros` values ('978-0-485-50776-8', 'O poder de atingir seus objetivos simplesmente', '2011-12-27', '35', '16');
insert into `livros` values ('978-0-409-93215-7', 'A liberdade de conseguir simplesmente', '2002-04-30', '11', '7');
insert into `livros` values ('978-0-89392-349-5', 'A possibilidade de atingir seus objetivos mais facilmente', '1986-06-10', '28', '7');
insert into `livros` values ('978-0-327-74074-2', 'A liberdade de atingir seus objetivos mais rapidamente', '2008-12-08', '12', '1');
insert into `livros` values ('978-1-948576-75-8', 'O poder de realizar seus sonhos direto da fonte', '1972-12-01', '90', '5');
insert into `livros` values ('978-1-74932-770-2', 'O poder de ganhar mais facilmente', '1997-06-11', '45', '9');
insert into `livros` values ('978-0-593-61196-8', 'O direito de mudar direto da fonte', '1994-08-28', '6', '13');
insert into `livros` values ('978-1-02-487866-0', 'O direito de concretizar seus projetos simplesmente', '1981-06-28', '49', '5');
insert into `livros` values ('978-0-480-17987-8', 'A vantagem de avançar de maneira eficaz', '1970-09-27', '45', '1');
insert into `livros` values ('978-0-292-66193-6', 'A simplicidade de ganhar com confiança', '1984-01-21', '8', '1');
insert into `livros` values ('978-1-64346-267-7', 'O conforto de mudar mais facilmente', '1997-06-24', '6', '2');
insert into `livros` values ('978-1-05-294012-4', 'O prazer de inovar naturalmente', '1988-05-22', '47', '18');
insert into `livros` values ('978-1-69374-284-2', 'A simplicidade de conseguir de maneira eficaz', '1979-04-22', '2', '17');
insert into `livros` values ('978-1-4663-7963-3', 'O conforto de evoluir antes de tudo', '2016-08-02', '17', '18');
insert into `livros` values ('978-0-601-30799-9', 'A possibilidade de inovar em estado puro', '2018-06-14', '32', '10');
insert into `livros` values ('978-1-63915-133-2', 'A arte de conseguir simplesmente', '2015-04-09', '77', '2');
insert into `livros` values ('978-0-15-945367-4', 'A segurança de realizar seus sonhos simplesmente', '2002-07-20', '21', '9');
insert into `livros` values ('978-1-69849-807-2', 'O prazer de realizar seus sonhos naturalmente', '1983-05-25', '27', '13');
insert into `livros` values ('978-0-295-42722-5', 'O direito de conseguir mais rapidamente', '1991-05-21', '93', '16');
insert into `livros` values ('978-0-7886-4056-8', 'A segurança de realizar seus sonhos com confiança', '2008-10-29', '50', '16');
insert into `livros` values ('978-1-4780-0874-3', 'A simplicidade de evoluir sem preocupação', '2005-03-18', '10', '1');
insert into `livros` values ('978-0-674-77762-0', 'O poder de inovar simplesmente', '2006-09-12', '73', '20');
insert into `livros` values ('978-1-77296-888-0', 'A arte de realizar seus sonhos com força total', '2021-04-27', '69', '4');
insert into `livros` values ('978-1-125-71383-9', 'A possibilidade de conseguir sem preocupação', '1993-01-19', '70', '1');
insert into `livros` values ('978-0-7347-3870-7', 'O poder de evoluir simplesmente', '2005-09-27', '5', '16');
insert into `livros` values ('978-0-87597-217-6', 'A certeza de inovar em estado puro', '1974-05-30', '65', '11');
insert into `livros` values ('978-1-214-01343-7', 'A certeza de avançar antes de tudo', '2000-04-19', '69', '1');
insert into `livros` values ('978-0-7213-7760-5', 'A simplicidade de ganhar naturalmente', '1974-09-28', '83', '8');
insert into `livros` values ('978-1-56031-566-7', 'A arte de conseguir mais rapidamente', '1995-07-29', '73', '3');
insert into `livros` values ('978-1-64629-691-0', 'O direito de avançar com toda a tranquilidade', '1999-04-06', '13', '1');
insert into `livros` values ('978-1-61309-884-4', 'A possibilidade de inovar com força total', '2003-11-15', '48', '6');
insert into `livros` values ('978-1-915989-30-7', 'O poder de evoluir sem preocupação', '1996-07-16', '89', '14');
insert into `livros` values ('978-0-908142-32-3', 'A vantagem de concretizar seus projetos direto da fonte', '2006-02-24', '70', '13');
insert into `livros` values ('978-1-244-37149-1', 'A certeza de ganhar sem preocupação', '2003-09-07', '52', '15');
insert into `livros` values ('978-0-493-65803-2', 'O direito de realizar seus sonhos com força total', '1993-09-28', '6', '2');
insert into `livros` values ('978-0-445-64104-4', 'O prazer de realizar seus sonhos de maneira eficaz', '2017-07-23', '13', '20');
insert into `livros` values ('978-0-208-86048-4', 'O direito de evoluir antes de tudo', '1987-12-07', '96', '10');
insert into `livros` values ('978-1-4218-2448-2', 'A segurança de realizar seus sonhos de maneira eficaz', '1992-03-02', '71', '6');
insert into `livros` values ('978-1-124-93395-5', 'A liberdade de conseguir com confiança', '2021-02-02', '54', '17');
insert into `livros` values ('978-1-55053-631-7', 'O direito de ganhar antes de tudo', '1973-05-03', '35', '6');
insert into `livros` values ('978-0-7218-2404-8', 'A possibilidade de inovar com força total', '1989-05-31', '33', '4');
insert into `livros` values ('978-0-07-796835-9', 'A certeza de ganhar com toda a tranquilidade', '2001-11-14', '67', '15');
insert into `livros` values ('978-0-313-76980-1', 'A liberdade de atingir seus objetivos mais rapidamente', '2009-05-02', '92', '7');
insert into `livros` values ('978-1-126-45775-6', 'O poder de mudar em estado puro', '1989-01-25', '29', '9');
insert into `livros` values ('978-0-7443-0215-8', 'A segurança de conseguir de maneira eficaz', '2009-11-04', '5', '19');
insert into `livros` values ('978-1-270-71682-2', 'A vantagem de concretizar seus projetos sem preocupação', '1983-06-23', '24', '19');
insert into `livros` values ('978-0-287-88700-6', 'A segurança de mudar com confiança', '1994-06-11', '59', '6');
insert into `livros` values ('978-1-5260-8696-9', 'A simplicidade de ganhar simplesmente', '2019-03-25', '17', '2');
insert into `livros` values ('978-1-4145-6892-8', 'O prazer de atingir seus objetivos mais rapidamente', '2012-08-28', '45', '7');
insert into `livros` values ('978-0-87708-341-2', 'O prazer de concretizar seus projetos mais rapidamente', '1976-06-30', '64', '6');
insert into `livros` values ('978-1-02-310214-8', 'A simplicidade de avançar naturalmente', '2022-06-30', '32', '7');
insert into `livros` values ('978-1-04-985998-9', 'A certeza de realizar seus sonhos naturalmente', '2008-10-24', '99', '3');
insert into `livros` values ('978-0-515-45600-4', 'O direito de conseguir direto da fonte', '2019-03-25', '83', '20');
insert into `livros` values ('978-1-79571-279-8', 'A vantagem de conseguir naturalmente', '2003-04-06', '28', '18');
insert into `livros` values ('978-0-659-18614-0', 'O poder de atingir seus objetivos simplesmente', '2000-11-24', '13', '2');
insert into `livros` values ('978-1-186-27473-7', 'A simplicidade de conseguir simplesmente', '1995-08-01', '62', '1');
insert into `livros` values ('978-1-08-786420-4', 'A segurança de atingir seus objetivos antes de tudo', '2007-01-11', '39', '8');
insert into `livros` values ('978-0-11-079208-8', 'O direito de atingir seus objetivos com toda a tranquilidade', '1995-06-05', '52', '3');
insert into `livros` values ('978-0-04-778858-1', 'A liberdade de inovar simplesmente', '1988-12-08', '61', '6');
insert into `livros` values ('978-1-104-62532-0', 'A certeza de evoluir simplesmente', '2006-02-26', '80', '20');
insert into `livros` values ('978-0-443-75797-6', 'O prazer de realizar seus sonhos mais facilmente', '1977-02-02', '27', '19');
insert into `livros` values ('978-0-351-01247-1', 'A certeza de inovar mais facilmente', '1973-06-04', '60', '18');
insert into `livros` values ('978-1-358-63574-8', 'O prazer de avançar com toda a tranquilidade', '2021-11-11', '20', '7');
insert into `livros` values ('978-0-7002-8911-0', 'A possibilidade de realizar seus sonhos mais facilmente', '1992-04-24', '50', '10');
insert into `livros` values ('978-1-357-25635-7', 'A vantagem de ganhar sem preocupação', '1976-07-01', '81', '12');
insert into `livros` values ('978-0-390-10952-1', 'O direito de ganhar antes de tudo', '2000-11-07', '40', '2');
insert into `livros` values ('978-1-344-51424-8', 'A certeza de conseguir com força total', '2006-01-31', '24', '16');
insert into `livros` values ('978-0-449-92316-0', 'A vantagem de realizar seus sonhos com força total', '2021-10-08', '27', '1');
insert into `livros` values ('978-1-5336-1927-3', 'A vantagem de inovar com força total', '1993-12-26', '76', '7');
insert into `livros` values ('978-1-5386-7454-3', 'A vantagem de ganhar com toda a tranquilidade', '2002-09-09', '33', '17');
insert into `livros` values ('978-1-970920-56-7', 'O conforto de evoluir antes de tudo', '1977-09-14', '22', '5');
insert into `livros` values ('978-1-349-34745-2', 'O prazer de inovar mais rapidamente', '1991-01-23', '50', '10');
insert into `livros` values ('978-1-75647-531-1', 'A simplicidade de avançar com força total', '1978-10-23', '40', '15');
insert into `livros` values ('978-0-689-74420-4', 'A segurança de conseguir simplesmente', '1993-08-22', '41', '11');
insert into `livros` values ('978-0-292-74361-8', 'A vantagem de avançar antes de tudo', '2011-03-18', '96', '6');
insert into `livros` values ('978-1-168-88463-3', 'O direito de concretizar seus projetos de maneira eficaz', '1974-12-06', '57', '6');
insert into `livros` values ('978-1-4577-6376-2', 'A vantagem de ganhar com força total', '2013-06-01', '40', '9');
insert into `livros` values ('978-0-8080-9642-9', 'A arte de atingir seus objetivos direto da fonte', '1984-06-20', '66', '3');
insert into `livros` values ('978-1-80830-675-4', 'A arte de mudar naturalmente', '2016-07-15', '43', '20');
insert into `livros` values ('978-1-951934-99-6', 'O poder de evoluir em estado puro', '1972-06-30', '28', '11');
insert into `livros` values ('978-1-388-21717-4', 'O direito de conseguir direto da fonte', '1999-05-16', '84', '14');
insert into `livros` values ('978-0-693-31737-1', 'A simplicidade de mudar mais rapidamente', '1984-04-15', '47', '9');
insert into `livros` values ('978-1-57214-656-3', 'A certeza de ganhar simplesmente', '1973-11-03', '14', '14');
insert into `livros` values ('978-0-277-92661-6', 'O conforto de ganhar em estado puro', '2020-06-18', '94', '2');
insert into `livros` values ('978-1-303-59494-6', 'A possibilidade de avançar naturalmente', '1991-01-24', '12', '14');
insert into `livros` values ('978-0-690-61020-8', 'A possibilidade de mudar com confiança', '1997-02-18', '94', '9');
insert into `livros` values ('978-0-540-53180-6', 'O poder de ganhar mais facilmente', '1985-01-12', '79', '5');
insert into `livros` values ('978-0-7433-3395-5', 'O prazer de atingir seus objetivos direto da fonte', '2002-05-06', '60', '2');
insert into `livros` values ('978-0-325-41340-2', 'A certeza de conseguir naturalmente', '2019-07-17', '14', '8');
insert into `livros` values ('978-1-390-09341-4', 'A arte de inovar naturalmente', '2001-09-09', '33', '12');
insert into `livros` values ('978-0-610-33140-4', 'A simplicidade de conseguir mais facilmente', '1988-12-28', '28', '3');
insert into `livros` values ('978-0-00-941306-3', 'A simplicidade de avançar antes de tudo', '1984-07-26', '72', '2');
insert into `livros` values ('978-0-03-374096-8', 'O conforto de realizar seus sonhos em estado puro', '2012-03-13', '65', '11');
insert into `livros` values ('978-1-5260-5952-9', 'A arte de ganhar com toda a tranquilidade', '1995-01-26', '60', '12');
insert into `livros` values ('978-0-7823-1410-6', 'A arte de evoluir com toda a tranquilidade', '2020-12-11', '31', '7');
insert into `livros` values ('978-0-620-91965-4', 'A arte de concretizar seus projetos com confiança', '2014-01-18', '81', '6');
insert into `livros` values ('978-0-596-98622-3', 'A possibilidade de mudar com força total', '1997-03-14', '30', '16');
insert into `livros` values ('978-1-372-67417-4', 'O prazer de inovar direto da fonte', '2000-02-16', '93', '14');
insert into `livros` values ('978-1-388-80001-7', 'A arte de realizar seus sonhos direto da fonte', '1983-04-06', '81', '1');
insert into `livros` values ('978-1-9761-2122-7', 'O direito de conseguir com toda a tranquilidade', '1975-06-06', '57', '7');
insert into `livros` values ('978-1-318-92689-3', 'A segurança de evoluir naturalmente', '2008-10-17', '2', '2');
insert into `livros` values ('978-0-643-62668-3', 'O direito de concretizar seus projetos com toda a tranquilidade', '1989-02-22', '60', '4');
insert into `livros` values ('978-0-394-21751-2', 'O prazer de inovar em estado puro', '1985-08-14', '49', '7');
insert into `livros` values ('978-1-194-50388-1', 'O prazer de inovar em estado puro', '1972-08-11', '27', '4');
insert into `livros` values ('978-0-598-27200-3', 'A vantagem de evoluir mais rapidamente', '2021-10-24', '73', '3');
insert into `livros` values ('978-0-13-957971-4', 'O conforto de mudar direto da fonte', '1986-08-17', '93', '10');
insert into `livros` values ('978-1-75934-770-7', 'O conforto de conseguir simplesmente', '2002-07-19', '22', '19');
insert into `livros` values ('978-1-271-42308-8', 'O direito de conseguir simplesmente', '2003-01-18', '8', '17');
insert into `livros` values ('978-0-88775-620-7', 'A simplicidade de evoluir com toda a tranquilidade', '1997-05-22', '82', '8');
insert into `livros` values ('978-0-656-00087-6', 'A vantagem de evoluir com toda a tranquilidade', '1988-03-09', '38', '18');
insert into `livros` values ('978-1-9752-3260-3', 'A vantagem de atingir seus objetivos mais facilmente', '2000-05-03', '95', '20');
insert into `livros` values ('978-1-230-48174-6', 'A vantagem de conseguir simplesmente', '2010-07-28', '90', '7');
insert into `livros` values ('978-1-86753-481-5', 'O poder de evoluir mais rapidamente', '2013-05-25', '21', '18');
insert into `livros` values ('978-0-636-98557-5', 'O direito de evoluir em estado puro', '2011-09-27', '34', '14');
insert into `livros` values ('978-0-253-65990-3', 'A arte de concretizar seus projetos direto da fonte', '1976-03-20', '59', '12');
insert into `livros` values ('978-0-564-55062-3', 'O conforto de inovar direto da fonte', '2013-05-05', '93', '17');
insert into `livros` values ('978-0-340-94687-9', 'A possibilidade de avançar mais facilmente', '2010-08-09', '17', '20');
insert into `livros` values ('978-1-02-059948-4', 'A certeza de evoluir mais rapidamente', '1989-04-21', '50', '12');
insert into `livros` values ('978-0-217-12473-7', 'A certeza de inovar de maneira eficaz', '1971-07-20', '68', '1');
insert into `livros` values ('978-0-611-77917-5', 'O conforto de ganhar mais rapidamente', '2011-05-18', '25', '6');
insert into `livros` values ('978-0-363-16451-9', 'A possibilidade de ganhar simplesmente', '1984-05-16', '93', '4');
insert into `livros` values ('978-0-312-27340-8', 'A simplicidade de realizar seus sonhos mais facilmente', '1999-01-09', '31', '14');
insert into `livros` values ('978-1-918381-07-8', 'O poder de conseguir antes de tudo', '1984-07-16', '68', '5');
insert into `livros` values ('978-0-559-51925-3', 'A simplicidade de realizar seus sonhos direto da fonte', '1972-03-14', '71', '19');
insert into `livros` values ('978-1-342-85999-0', 'A liberdade de concretizar seus projetos direto da fonte', '2002-03-14', '15', '20');
insert into `livros` values ('978-0-319-85562-1', 'O direito de concretizar seus projetos naturalmente', '2008-12-02', '49', '13');
insert into `livros` values ('978-0-905522-69-2', 'O direito de atingir seus objetivos direto da fonte', '1992-02-19', '26', '19');
insert into `livros` values ('978-1-66010-907-4', 'A certeza de ganhar com força total', '1970-08-25', '93', '2');
insert into `livros` values ('978-0-12-359899-8', 'O prazer de realizar seus sonhos com toda a tranquilidade', '2015-09-10', '16', '11');
insert into `livros` values ('978-1-83906-458-6', 'O conforto de ganhar mais rapidamente', '2022-03-05', '33', '19');
insert into `livros` values ('978-0-02-695166-1', 'A certeza de atingir seus objetivos mais facilmente', '1986-06-08', '15', '6');
insert into `livros` values ('978-0-02-605951-0', 'A simplicidade de mudar mais rapidamente', '2002-08-23', '47', '19');
insert into `livros` values ('978-1-4982-7974-1', 'O poder de ganhar de maneira eficaz', '1995-10-11', '44', '5');
insert into `livros` values ('978-1-64168-741-6', 'O poder de avançar direto da fonte', '1999-04-29', '73', '4');
insert into `livros` values ('978-0-88096-159-2', 'O prazer de concretizar seus projetos direto da fonte', '2014-01-21', '76', '12');
insert into `livros` values ('978-0-8261-3429-5', 'A simplicidade de inovar mais rapidamente', '1971-01-06', '61', '8');
insert into `livros` values ('978-0-02-634825-6', 'A possibilidade de conseguir mais rapidamente', '1976-09-10', '57', '16');
insert into `livros` values ('978-1-112-23776-8', 'O conforto de mudar mais rapidamente', '2012-09-18', '83', '1');
insert into `livros` values ('978-1-871382-53-2', 'A segurança de avançar naturalmente', '1974-11-16', '38', '18');
insert into `livros` values ('978-0-400-92412-0', 'A possibilidade de ganhar com confiança', '1992-10-02', '82', '4');
insert into `livros` values ('978-0-232-52479-6', 'A simplicidade de realizar seus sonhos em estado puro', '2019-06-27', '36', '15');
insert into `livros` values ('978-1-911615-87-3', 'A vantagem de inovar com confiança', '1973-04-06', '79', '8');
insert into `livros` values ('978-0-7456-2056-5', 'O prazer de evoluir antes de tudo', '1989-10-06', '43', '6');
insert into `livros` values ('978-0-546-75945-7', 'A certeza de concretizar seus projetos mais facilmente', '1996-05-25', '82', '19');
insert into `livros` values ('978-1-216-23031-3', 'A simplicidade de conseguir mais facilmente', '1988-12-16', '27', '2');
insert into `livros` values ('978-1-4776-5068-4', 'O prazer de evoluir com confiança', '2006-10-06', '76', '19');
insert into `livros` values ('978-1-4647-8625-9', 'A arte de atingir seus objetivos com confiança', '1988-04-01', '57', '16');
insert into `livros` values ('978-1-06-289375-5', 'A simplicidade de avançar em estado puro', '2008-05-03', '34', '8');
insert into `livros` values ('978-1-57950-940-8', 'A simplicidade de mudar de maneira eficaz', '2006-03-15', '64', '4');
insert into `livros` values ('978-0-923644-36-9', 'O poder de realizar seus sonhos direto da fonte', '1999-11-24', '64', '5');
insert into `livros` values ('978-0-7370-1957-5', 'A arte de avançar com confiança', '1981-06-13', '80', '14');
insert into `livros` values ('978-1-86567-889-4', 'O conforto de conseguir com toda a tranquilidade', '2008-03-17', '67', '15');
insert into `livros` values ('978-0-645-27938-2', 'A vantagem de atingir seus objetivos antes de tudo', '1986-08-21', '98', '19');
insert into `livros` values ('978-1-7325709-0-0', 'A simplicidade de atingir seus objetivos com confiança', '2014-06-15', '95', '10');
insert into `livros` values ('978-1-05-077497-4', 'O conforto de evoluir com toda a tranquilidade', '2001-07-25', '71', '14');
insert into `livros` values ('978-0-7581-4376-1', 'A vantagem de conseguir mais rapidamente', '1989-02-12', '96', '13');
insert into `livros` values ('978-0-626-73242-4', 'A simplicidade de avançar naturalmente', '2003-02-15', '46', '16');
insert into `livros` values ('978-0-365-22336-8', 'A segurança de evoluir com confiança', '1986-06-28', '28', '15');
insert into `livros` values ('978-1-924075-30-5', 'O prazer de avançar simplesmente', '1973-11-01', '3', '2');
insert into `livros` values ('978-0-7189-5269-3', 'A certeza de mudar naturalmente', '1991-02-07', '51', '14');
insert into `livros` values ('978-0-18-471489-4', 'O direito de inovar com toda a tranquilidade', '1997-06-14', '21', '7');
insert into `livros` values ('978-0-282-84761-6', 'A possibilidade de atingir seus objetivos sem preocupação', '2022-07-06', '92', '8');
insert into `livros` values ('978-1-04-139106-7', 'A certeza de conseguir de maneira eficaz', '2012-09-14', '18', '20');
insert into `livros` values ('978-0-293-83320-2', 'A liberdade de concretizar seus projetos sem preocupação', '2010-04-01', '45', '16');
insert into `livros` values ('978-1-64843-055-8', 'A liberdade de avançar sem preocupação', '1979-01-10', '56', '18');
insert into `livros` values ('978-0-539-72130-0', 'A simplicidade de mudar em estado puro', '1990-09-29', '74', '9');
insert into `livros` values ('978-1-84135-692-1', 'A arte de evoluir antes de tudo', '2017-07-26', '83', '6');
insert into `livros` values ('978-1-373-31963-0', 'A liberdade de avançar com confiança', '1994-01-12', '1', '8');
insert into `livros` values ('978-0-7882-7315-5', 'O conforto de realizar seus sonhos antes de tudo', '2017-11-06', '71', '18');
insert into `livros` values ('978-0-647-55904-8', 'A possibilidade de realizar seus sonhos de maneira eficaz', '1971-11-17', '13', '9');
insert into `livros` values ('978-1-144-93128-3', 'A certeza de mudar mais facilmente', '1970-03-25', '34', '4');
insert into `livros` values ('978-1-304-93326-3', 'A vantagem de inovar naturalmente', '2018-09-01', '97', '4');
insert into `livros` values ('978-0-621-57921-5', 'A liberdade de evoluir direto da fonte', '2000-09-26', '31', '19');
insert into `livros` values ('978-1-988620-68-8', 'A simplicidade de conseguir mais facilmente', '2020-11-11', '31', '9');
insert into `livros` values ('978-0-8367-4286-2', 'A certeza de mudar com força total', '2005-04-27', '25', '3');
insert into `livros` values ('978-0-473-50540-0', 'O poder de mudar em estado puro', '1997-01-13', '84', '16');
insert into `livros` values ('978-0-257-81983-9', 'O conforto de concretizar seus projetos direto da fonte', '2000-03-04', '44', '3');
insert into `livros` values ('978-0-8338-6956-2', 'A liberdade de realizar seus sonhos com força total', '1996-07-24', '93', '17');
insert into `livros` values ('978-1-4707-3710-8', 'A simplicidade de avançar em estado puro', '1975-06-26', '69', '1');
insert into `livros` values ('978-1-02-576460-3', 'A vantagem de atingir seus objetivos sem preocupação', '2009-02-17', '79', '9');
insert into `livros` values ('978-0-296-49018-1', 'A liberdade de realizar seus sonhos naturalmente', '2003-09-12', '32', '13');
insert into `livros` values ('978-1-85824-233-0', 'A segurança de inovar simplesmente', '2019-10-16', '65', '1');
insert into `livros` values ('978-0-7028-1533-1', 'A segurança de evoluir mais facilmente', '2006-10-24', '74', '8');
insert into `livros` values ('978-0-397-65290-7', 'A segurança de atingir seus objetivos com força total', '1971-04-20', '78', '18');
insert into `livros` values ('978-1-08-266235-5', 'A arte de concretizar seus projetos com força total', '2003-11-23', '40', '4');
insert into `livros` values ('978-1-284-56672-7', 'A possibilidade de ganhar sem preocupação', '1983-11-27', '9', '8');
insert into `livros` values ('978-0-388-69338-4', 'A vantagem de atingir seus objetivos antes de tudo', '2013-08-30', '98', '16');
insert into `livros` values ('978-1-00-533185-6', 'A certeza de mudar antes de tudo', '2014-04-07', '100', '14');
insert into `livros` values ('978-1-09-390351-5', 'O prazer de concretizar seus projetos simplesmente', '1994-08-12', '65', '10');
insert into `livros` values ('978-1-120-88913-3', 'A certeza de concretizar seus projetos direto da fonte', '1982-04-25', '86', '17');
insert into `livros` values ('978-1-256-68069-7', 'A arte de ganhar em estado puro', '1992-02-17', '85', '10');
insert into `livros` values ('978-1-09-113173-6', 'A vantagem de mudar em estado puro', '2009-12-03', '64', '18');
insert into `livros` values ('978-0-8331-8803-8', 'A certeza de mudar em estado puro', '1987-06-03', '89', '5');
insert into `livros` values ('978-0-09-175707-6', 'A possibilidade de evoluir sem preocupação', '1995-08-26', '63', '3');
insert into `livros` values ('978-0-300-23632-3', 'A simplicidade de concretizar seus projetos de maneira eficaz', '1979-05-18', '68', '2');
insert into `livros` values ('978-1-5309-5496-4', 'O direito de conseguir direto da fonte', '1972-10-01', '45', '12');
insert into `livros` values ('978-1-146-88300-9', 'A vantagem de ganhar com toda a tranquilidade', '1984-04-29', '57', '3');
insert into `livros` values ('978-1-01-471029-1', 'A possibilidade de evoluir direto da fonte', '1984-02-24', '61', '16');
insert into `livros` values ('978-1-82844-430-6', 'A liberdade de atingir seus objetivos de maneira eficaz', '2005-11-09', '83', '19');
insert into `livros` values ('978-1-57280-423-4', 'A arte de avançar simplesmente', '2010-11-23', '14', '8');
insert into `livros` values ('978-1-56112-729-0', 'A possibilidade de ganhar mais rapidamente', '1986-12-09', '30', '5');
insert into `livros` values ('978-1-85999-115-2', 'A liberdade de conseguir de maneira eficaz', '1979-02-22', '60', '14');
insert into `livros` values ('978-0-360-54800-8', 'O conforto de concretizar seus projetos com confiança', '2006-11-03', '17', '9');
insert into `livros` values ('978-0-931463-35-8', 'O poder de mudar mais rapidamente', '1983-10-02', '28', '19');
insert into `livros` values ('978-1-4926-6825-1', 'A possibilidade de inovar direto da fonte', '1978-03-23', '70', '13');
insert into `livros` values ('978-0-267-00948-0', 'A arte de mudar em estado puro', '2021-11-10', '71', '5');
insert into `livros` values ('978-0-7415-5595-3', 'O direito de atingir seus objetivos simplesmente', '2000-10-09', '85', '11');
insert into `livros` values ('978-1-244-75185-9', 'O direito de mudar simplesmente', '2018-09-29', '52', '19');
insert into `livros` values ('978-0-392-86303-2', 'A possibilidade de realizar seus sonhos simplesmente', '1973-12-01', '98', '2');
insert into `livros` values ('978-1-68415-577-4', 'A simplicidade de concretizar seus projetos naturalmente', '1988-05-05', '55', '14');
insert into `livros` values ('978-1-08-336704-4', 'O direito de ganhar antes de tudo', '1990-09-16', '57', '10');
insert into `livros` values ('978-0-416-38158-0', 'O conforto de atingir seus objetivos em estado puro', '1977-05-31', '79', '14');
insert into `livros` values ('978-0-260-55190-0', 'A arte de realizar seus sonhos em estado puro', '1990-04-25', '19', '18');
insert into `livros` values ('978-1-01-331589-3', 'A segurança de ganhar em estado puro', '2012-10-04', '4', '19');
insert into `livros` values ('978-0-222-39680-8', 'A possibilidade de realizar seus sonhos mais facilmente', '2013-05-05', '36', '18');
insert into `livros` values ('978-0-7680-7644-8', 'O poder de concretizar seus projetos sem preocupação', '2009-03-20', '13', '6');
